ID,Are you running on-premises or on a Cloud Provider? (Check all that apply),How much of your data analytics and machine learning development is done using Python & PyData stack? ,The Data Science team is currently using tools that they're not totally comfortable with?,How do you deploy your data analyses and ML models? (Check all that apply),Where is your data stored? (Check all that apply),Who deploys your data analyses and ML models today?(Check all that apply),"Rate your current pipeline or workflow from data acquisition to development to deployment today (1 - simple, 10 - very complex)",Would you like to add automation to your pipeline?,Do analysts and data scientists work alone or collaborate?,Is there a desire to collaborate more?,Are your data scientists using Git?,"Is reproducing older results a requirement, for compliance or other reasons?",Do you use the following:,"On a scale of 0 to 10, 10 being highly likely and 0 being not at all likely, how likely are you to recommend Spark to a friend or colleague?",Which best describes your attitude toward cloud compute costs?,Are you currently purchasing software or other services through any of the following marketplaces:
167,"On-premises, Other",We use Python more than other programming languages,Disagree,"Dashboards, REST APIs, Batch jobs, elasticsearch+kibana","Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,5,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",8,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
168,On-premises,We use Python more than other programming languages,Agree,Dashboards,Data Warehouse,"Data Scentists exclusively, A combination of IT/DevOps & Data Science",9,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",9,We are strongly concerned with compute costs,Azure Marketplace
169,"Azure, On-premises, Other",We use Python more than other programming languages,Neutral,REST APIs,NoSQL database,Data Scentists exclusively,6,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",10,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
170,On-premises,We use Python more than other programming languages,Neutral,REST APIs,Relational database,"IT/DevOps exclusively, A combination of IT/DevOps & Data Science",7,Maybe,Work solo and / or work locally,Maybe,"Yes, but our data scientists aren't that comfortable using Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",0,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
171,"AWS, Google Cloud",We use Python more than other programming languages,Agree,Dashboards,NoSQL database,A combination of IT/DevOps & Data Science,6,Yes,We collaborate but there are pain points,,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,10,We are strongly concerned with compute costs,"AWS Marketplace, GCP Marketplace"
172,On-premises,We use Python more than other programming languages,Strongly Agree,"Dashboards, Batch jobs",Relational database,Data Scentists exclusively,4,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,Azure Marketplace
173,On-premises,We use Python but it isn't dominant or core to our approach,Disagree,Dashboards,Flat files,A combination of IT/DevOps & Data Science,5,Yes,We collaborate but there are pain points,Maybe,"No, we are not using Git for data science",No,I've heard of RAPIDS but I don't use it,7,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
174,Other,We use Python but it isn't dominant or core to our approach,Agree,Dashboards,"Relational database, Hadoop",Data Scentists exclusively,6,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,I've heard of RAPIDS but I don't use it,8,We are somewhat concerned with compute costs,Other Cloud Marketplace
175,On-premises,We use Python more than other programming languages,Neutral,"Dashboards, REST APIs",NoSQL database,A combination of IT/DevOps & Data Science,7,Yes,Some collaboration,Maybe,"Yes, but our data scientists aren't that comfortable using Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
176,Other,We use Python but it isn't dominant or core to our approach,Neutral,"Dashboards, REST APIs, Batch jobs","Flat files, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Yes,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,Dask,8,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
177,Other,We use Python but it isn't dominant or core to our approach,Neutral,Dashboards,Flat files,A combination of IT/DevOps & Data Science,6,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of RAPIDS but I don't use it,N/A - I'm not familiar with Spark,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
178,"AWS, Google Cloud, On-premises",We use Python but it isn't dominant or core to our approach,Neutral,Batch jobs,"Flat files, Object store, Relational database, NoSQL database, Data Warehouse","IT/DevOps exclusively, A combination of IT/DevOps & Data Science",7,Yes,Some collaboration,Yes,"No, we are not using Git for data science",Yes,,9,We are not very concerned with compute costs,GCP Marketplace
179,"AWS, Azure",We don't plan on using Python,Disagree,Batch jobs,Relational database,IT/DevOps exclusively,2,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",No,I've heard of RAPIDS but I don't use it,3,We are strongly concerned with compute costs,Azure Marketplace
180,"Google Cloud, On-premises",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs","Object store, Data Warehouse, Hive",A combination of IT/DevOps & Data Science,6,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,8,We are somewhat concerned with compute costs,GCP Marketplace
181,"AWS, Google Cloud",,,,"Flat files, Relational database, Data Warehouse",IT/DevOps exclusively,8,Yes,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,9,We are strongly concerned with compute costs,"AWS Marketplace, GCP Marketplace"
182,"AWS, On-premises",We use Python more than other programming languages,Agree,"Dashboards, REST APIs","Flat files, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,5,Maybe,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",2,We are strongly concerned with compute costs,AWS Marketplace
183,"AWS, On-premises",We use Python more than other programming languages,Agree,Dashboards,"Flat files, Object store, Relational database, Data Warehouse",Data Scentists exclusively,10,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",8,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
184,"AWS, Azure, Other",We use Python more than other programming languages,Agree,Dashboards,"Flat files, Relational database, NoSQL database","Data Scentists exclusively, A combination of IT/DevOps & Data Science",6,Yes,Some collaboration,,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,3,We are strongly concerned with compute costs,"Azure Marketplace, GCP Marketplace"
185,Google Cloud,We use Python more than other programming languages,Neutral,REST APIs,"Flat files, Relational database",Data Scentists exclusively,6,Yes,Some collaboration,Maybe,"No, we are not using Git for data science",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,Azure Marketplace
186,AWS,We use Python more than other programming languages,Agree,Production Pipelines,Object store,IT/DevOps exclusively,9,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",10,We are not very concerned with compute costs,AWS Marketplace
187,"AWS, Google Cloud, On-premises",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs","Flat files, Object store, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,4,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",4,We are somewhat concerned with compute costs,"AWS Marketplace, GCP Marketplace"
188,"Azure, On-premises",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs","Flat files, Relational database",Data Scentists exclusively,7,Maybe,Some collaboration,Maybe,"No, we are not using Git for data science",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are not very concerned with compute costs,Azure Marketplace
189,"AWS, On-premises, Other",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs, Batch jobs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Maybe,Dask,8,We are not very concerned with compute costs,AWS Marketplace
190,On-premises,Using R,Strongly Agree,Dashboards,Flat files,Data Scentists exclusively,5,Yes,No other members on the unit,Maybe,"Yes, but our data scientists aren't that comfortable using Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
191,Other,"Currently not using python, but plan to integrate in the near future",Neutral,Dashboards,Data Warehouse,A combination of IT/DevOps & Data Science,7,Maybe,We collaborate but there are pain points,Yes,"No, we are not using Git for data science",No,,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
192,On-premises,We use Python more than other programming languages,Neutral,Dashboards,Flat files,A combination of IT/DevOps & Data Science,3,Yes,Some collaboration,Yes,"No, we are not using Git for data science",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",0,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
193,"AWS, Azure",We use Python more than other programming languages,Agree,Dashboards,"Flat files, Relational database",A combination of IT/DevOps & Data Science,7,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,8,We are strongly concerned with compute costs,"AWS Marketplace, Azure Marketplace"
194,"AWS, Azure, Google Cloud",We use Python more than other programming languages,Neutral,"REST APIs, Batch jobs","NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,5,Maybe,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Maybe,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace"
195,"Google Cloud, Other",We use Python more than other programming languages,Disagree,"Dashboards, classification, detection, predection","Object store, Relational database, NoSQL database, Data Warehouse","Data Scentists exclusively, A combination of IT/DevOps & Data Science",1,Maybe,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
196,Google Cloud,We use Python more than other programming languages,Neutral,"Dashboards, FLASK","Object store, Relational database",Data Scentists exclusively,4,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",10,We are somewhat concerned with compute costs,"AWS Marketplace, GCP Marketplace"
197,On-premises,We use Python more than other programming languages,Agree,Dashboards,Data Warehouse,IT/DevOps exclusively,4,Yes,We collaborate but there are pain points,Yes,"No, we are not using Git for data science",Yes,I've heard of Dask but I don't use it,5,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
198,"AWS, Azure",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs",Flat files,Data Scentists exclusively,4,Maybe,Work solo and / or work locally,Maybe,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,4,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace"
199,Other,R,Agree,Dashboards,"Relational database, Data Warehouse",Data Scentists exclusively,8,Maybe,Seamless collaboration,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of RAPIDS but I don't use it,10,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
200,"AWS, Azure, Google Cloud, On-premises",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs","Relational database, NoSQL database",A combination of IT/DevOps & Data Science,,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,"Dask, I've heard of RAPIDS but I don't use it",10,,"AWS Marketplace, Azure Marketplace"
201,Other,,Disagree,"Dashboards, Batch jobs","Flat files, Data Warehouse",Data Scentists exclusively,7,Yes,Seamless collaboration,Yes,"No, we are not using Git for data science",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,AWS Marketplace
202,"On-premises, Other",We use Python more than other programming languages,Disagree,"Dashboards, Batch jobs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,4,Yes,We collaborate but there are pain points,No,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",5,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
203,Google Cloud,We use Python more than other programming languages,Neutral,Dashboards,"Flat files, Object store, Relational database",Data Scentists exclusively,7,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Maybe,,N/A - I'm not familiar with Spark,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
204,"Azure, On-premises",We don't plan on using Python,Agree,,Relational database,A combination of IT/DevOps & Data Science,6,Yes,Some collaboration,Yes,"No, we are not using Git for data science",Maybe,I've heard of RAPIDS but I don't use it,3,We are somewhat concerned with compute costs,Azure Marketplace
205,"Azure, On-premises",We use Python more than other programming languages,Agree,"Dashboards, Batch jobs","Flat files, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,5,Yes,We collaborate but there are pain points,Maybe,"No, we are not using Git for data science",Yes,I've heard of Dask but I don't use it,10,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace"
206,On-premises,We use Python but it isn't dominant or core to our approach,Disagree,Dashboards,Relational database,Data Scentists exclusively,7,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",5,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
207,On-premises,We use Python more than other programming languages,Disagree,"Dashboards, REST APIs, Batch jobs","Flat files, Relational database",Data Scentists exclusively,7,Maybe,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",6,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
208,AWS,We use Python more than other programming languages,Agree,Dashboards,Data Warehouse,A combination of IT/DevOps & Data Science,7,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
209,"On-premises, Other",We use Python more than other programming languages,Agree,"Dashboards, REST APIs","Flat files, Object store, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,6,Maybe,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are not at all concerned with compute costs,Other Cloud Marketplace
210,On-premises,We use Python but it isn't dominant or core to our approach,Neutral,"Dashboards, Batch jobs","Flat files, Relational database, Data Warehouse",IT/DevOps exclusively,8,Maybe,We collaborate but there are pain points,Yes,"No, we are not using Git for data science",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",9,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
211,Azure,We use Python more than other programming languages,Disagree,Batch jobs,Flat files,A combination of IT/DevOps & Data Science,8,No,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,Azure Marketplace
212,"AWS, Google Cloud",We use Python more than other programming languages,Disagree,"Dashboards, Batch jobs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse, APIs",A combination of IT/DevOps & Data Science,8,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,8,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
213,On-premises,We use Python more than other programming languages,Agree,"Dashboards, Batch jobs","Flat files, Relational database",Data Scentists exclusively,7,Yes,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
214,Google Cloud,We use Python but it isn't dominant or core to our approach,Agree,REST APIs,NoSQL database,A combination of IT/DevOps & Data Science,8,No,We collaborate but there are pain points,No,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,2,We are somewhat concerned with compute costs,GCP Marketplace
215,"Azure, On-premises, Other",We use Python more than other programming languages,Agree,Dashboards,"Relational database, Time series database",Data Scentists exclusively,7,Yes,Same people,Maybe,"Yes, our data scientists are proficient with Git",Maybe,,9,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
216,AWS,We use Python but it isn't dominant or core to our approach,Neutral,Dashboards,Relational database,"Data Scentists exclusively, Data Engineer and Business Intelligence Engineer",7,Yes,Some collaboration,Yes,"No, we are not using Git for data science",Maybe,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,AWS Marketplace
